# CodeBrix.LilyPort -- font-build delta ledger (ruling R19).
#
# Every page here renders DIFFERENTLY under the port's own Emmentaler build
# than under the one LilyPond ships.  Same engine, same input, same
# everything else -- so each number is the cost of building our own fonts,
# and nothing else.  Pages absent from this file are byte-identical.
#
# The numbers are EXACT, not sampled: the font build is byte-reproducible and
# the engine is deterministic.  So any change to any of them is a signal and
# has to be explained, even a change that makes a number SMALLER.
#
# verdict  MOVED     marks are in different places; dx/dy are the largest
#                    single-mark displacement in the paper's staff-spaces,
#                    and mm is that converted through this page's own scale.
#          STRUCTURE the page has a different NUMBER of marks.  Only the
#                    -ddebug-skylines pages do this, because they draw the
#                    skylines themselves; `moved'/`total' hold the two counts.
#          ABSENT    the page is missing from the other render entirely.
#          SAME-FONTS both font builds render it identically; it is here
#                    only because the GATE does not certify it.
#
# gate     what the LilyPond-font run graded against the oracle corpus.  A
#          page the gate says MATCH is vouched for by an ORACLE and needs no
#          drift record, so its sha256 column is `-'.  Every other page
#          carries the hash of OUR OWN rendering, which is what the retired
#          baseline/svg used to hold as eight whole files.
#
# file	verdict	moved	total	max_dx_ss	max_dy_ss	max_mm	gate	sha256
repeat-unfold-partial.svg	MOVED	4	319	0.0000	0.0026	0.004569	MATCH	-
repeat-volta-alternative-empty.svg	MOVED	3	108	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-alternative-zero-duration.svg	MOVED	3	108	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-body-empty.svg	MOVED	3	117	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-body-grace.svg	MOVED	3	147	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-body-zero-duration.svg	MOVED	3	117	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-count-one-printed.svg	MOVED	1	61	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-in-segno-end.svg	MOVED	1	59	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-in-segno-middle.svg	MOVED	1	65	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-in-segno-start.svg	MOVED	1	65	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-one-alternative.svg	MOVED	1	25	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-skip-alternatives.svg	MOVED	1	28	0.0000	0.0025	0.004393	MATCH	-
repeat-volta-specified-alternatives.svg	MOVED	2	60	0.0000	0.0025	0.004393	MATCH	-
repeat-volta.svg	MOVED	61	70	0.0000	0.0051	0.008962	MATCH	-
rest-collision.svg	MOVED	91	180	0.0000	0.0025	0.004393	MATCH	-
satb-template-with-men-women-and-descant.svg	MOVED	9	274	0.0000	0.0085	0.014937	MATCH	-
script-skip.svg	MOVED	1	51	0.0000	0.0085	0.014937	MATCH	-
section-label-style.svg	MOVED	72	75	0.0000	0.0085	0.014937	MATCH	-
show-skylines.svg	STRUCTURE	211	219	0.0000	0.0000	0.000000	MATCH	-
size20.svg	MOVED	1	44	0.0000	0.0025	0.004393	MATCH	-
skyline-boxes-ellipses.svg	STRUCTURE	744	764	0.0000	0.0000	0.000000	PLACEMENT-DIFFERS	c016d11e0a700d67516d892bdd87d0506725200a7ddf5596060dea10379a0f10
skyline-debug.svg	STRUCTURE	538	578	0.0000	0.0000	0.000000	MATCH	-
skyline-embedded-ps.svg	STRUCTURE	256	286	0.0000	0.0000	0.000000	MATCH	-
skyline-grob-rotation.svg	STRUCTURE	954	994	0.0000	0.0000	0.000000	GLYPHS-DIFFER	2b32cabb45d06791a49187c304f8bbf6708efcc450a037f35c0b75277db74ba5
skyline-slur-segments.svg	STRUCTURE	655	675	0.0000	0.0000	0.000000	MATCH	-
ssaattbb-template-with-all-staves.svg	MOVED	436	463	0.0000	0.0183	0.032159	MATCH	-
ssaattbb-template-with-all-voices-on-one-staff.svg	MOVED	12	417	0.0000	0.0085	0.014937	MATCH	-
ssaattbb-template-with-men-women-and-descant.svg	MOVED	210	415	0.0000	0.0049	0.008611	MATCH	-
tablature-full-notation.svg	MOVED	1	343	0.0000	0.0001	0.000158	MATCH	-
tablature-repeat-tie.svg	MOVED	1	245	0.0000	0.0025	0.004393	MATCH	-
tablature-tie-behaviour.svg	MOVED	3	474	0.0000	0.0025	0.004393	MATCH	-
typography-demo.svg	SAME-FONTS	0	0	0.0000	0.0000	0.000000	GLYPHS-DIFFER	50498eb4cdc72ff090908f282385e679c29f065a1b1de88cfa5f0d20ef7c7d19
utf-8.svg	SAME-FONTS	0	0	0.0000	0.0000	0.000000	GLYPHS-DIFFER	a4e8b29534ab7f18a86467de60282dc99485a0659a4e7d2dfd6c2ea59bb6e661
volta-bracket-add-volta-hook.svg	MOVED	1	30	0.0000	0.0025	0.004393	MATCH	-
volta-bracket-grace-synchronization-negative.svg	MOVED	4	199	0.0000	0.0025	0.004393	MATCH	-
volta-bracket-grace-synchronization.svg	MOVED	14	210	0.0000	0.0026	0.004569	MATCH	-
volta-bracket-nest.svg	MOVED	1	43	0.0000	0.0025	0.004393	MATCH	-
volta-bracket-vertical-skylines.svg	MOVED	2	146	0.0000	0.0025	0.004393	MATCH	-
volta-bracket-warning-end-prematurely.svg	MOVED	4	122	0.0000	0.0025	0.004393	MATCH	-
volta-bracket-warning-start-conflicting-numbers.svg	MOVED	1	26	0.0000	0.0025	0.004393	MATCH	-
volta-broken-left-edge.svg	MOVED	4	227	0.0000	0.0025	0.004393	MATCH	-
volta-multi-staff-inner-staff.svg	MOVED	1	89	0.0000	0.0025	0.004393	MATCH	-
volta-multi-staff.svg	MOVED	1	89	0.0000	0.0025	0.004393	MATCH	-
volta-number-offset.svg	MOVED	1	26	0.0000	0.0025	0.004393	MATCH	-
volta-overhang-manual.svg	MOVED	2	74	0.0000	0.0025	0.004393	MATCH	-
volta-overhang.svg	MOVED	1	45	0.0000	0.0025	0.004393	MATCH	-
volta-spec-ossia.svg	MOVED	1	32	0.0000	0.0025	0.004393	MATCH	-
volta-spec-volta-in-unfold.svg	MOVED	2	52	0.0000	0.0025	0.004393	MATCH	-
