# Grob interfaces declared by C++ ADD_INTERFACE macros in LilyPond v2.27.2
# (commit 2d621459bd44cb1758f822a69757242eab843060), extracted from lily/*.cc.
#
# Upstream registers these from static initialisers before any Scheme runs; the
# port registers them from this table at CreateInterpreter, for the same reason
# and at the same point in the sequence. The interfaces declared in Scheme by
# ly:add-interface (scm/define-grob-interfaces.scm) are a SEPARATE set and load
# afterwards, exactly as upstream -- where the two overlap, Scheme wins, because
# it runs later and ly:add-interface overwrites.
#
# The interface symbol is derived the way lily/grob-interface.cc add_interface
# derives it: camel_case_to_lisp_identifier of the C++ class name, then
# "-interface" appended unless it is already the suffix.
#
# Columns: interface-symbol  cxx-class  upstream-file  properties  description
# Properties are space-separated (upstream parse_symbol_list); description
# newlines are written as \n escapes so every record is one line.
#
# THIS FILE IS DERIVED FROM GPL-3 SOURCE. See THIRD-PARTY-NOTICES.txt.
measure-spanner-interface	Measure_spanner	measure-spanner.cc	bracket-flare bracket-visibility break-overshoot connect-to-neighbor direction edge-height padding shorten-pair spacing-pair staff-padding thickness	A bracket aligned to a measure or measures.
melody-spanner-interface	Melody_spanner	melody-spanner.cc	stems neutral-direction	Context dependent typesetting decisions.
mensural-ligature-interface	Mensural_ligature	mensural-ligature.cc	delta-position ligature-flexa ligature-pes left-down-stem right-down-stem right-up-stem head-width add-join flexa-interval primitive thickness	A mensural ligature.
multi-measure-rest-interface	Multi_measure_rest	multi-measure-rest.cc	bound-padding expand-limit hair-thickness max-symbol-separation measure-count minimum-length round-up-exceptions round-up-to-longer-rest space-increment spacing-pair thick-thickness usable-duration-logs	A rest that spans a whole number of measures.
note-collision-interface	Note_collision_interface	note-collision.cc	fa-merge-direction fa-styles merge-differently-dotted merge-differently-headed note-collision-threshold positioning-done prefer-dotted-right	An object that handles collisions between notes with different stem directions\nand horizontal shifts.  Most of the interesting properties are to be set in\n@iref{note-column-interface}: these are @code{force-hshift} and\n@code{horizontal-shift}.
note-column-interface	Note_column	note-column.cc	force-hshift horizontal-shift ignore-collision note-heads main-extent rest rest-collision stem glissando-skip	Stem and noteheads combined.
note-head-interface	Note_head	note-head.cc	accidental-grob direction duration-log glyph-info glyph-name ignore-ambitus ledger-extra ledger-positions note-names stem-attachment style	A note head.  There are many possible values for @code{style}.  For a complete\nlist, see @rnotation{Note head styles}.\n\nThe sense of the @code{direction} property is the direction of the stem that the\nhead is designed to attach to.  For certain glyphs, this might seem\ncounterintuitive.  Note that stems do not adapt to forced changes in head\ndirection, so even when a head style has direction-dependent glyphs, proper\nattachment to the stem depends on the design of the font.
note-spacing-interface	Note_spacing	note-spacing.cc	knee-spacing-correction left-items right-items same-direction-correction stem-spacing-correction space-to-barline	This object calculates spacing wishes for individual voices.
ottava-bracket-interface	Ottava_bracket	ottava-bracket.cc	bracket-flare dashed-edge edge-height minimum-length shorten-pair	An ottava bracket.
paper-column-interface	Paper_column	paper-column.cc	bounded-by-me labels maybe-loose rhythmic-location spacing used when X-alignment-extent	@code{Paper_column} objects form the top-most X@tie{}parents for items.  There\nare two types of columns: musical and non-musical, to which musical and\nnon-musical objects are attached respectively.  The spacing engine determines\nthe X@tie{}positions of these objects.\n\nThey are numbered, the first (leftmost) is column@tie{}0.  Numbering happens\nbefore line breaking, and columns are not renumbered after line breaking.\nSince many columns go unused, you should only use the rank field to get\nordering information.  Two adjacent columns may have non-adjacent numbers.\n\nThe @code{paper-column-interface} implies the @iref{item-interface}.
percent-repeat-interface	Percent_repeat_interface	percent-repeat-interface.cc	dot-negative-kern slash-negative-kern slope thickness	Repeats that look like percent signs.
piano-pedal-bracket-interface	Piano_pedal_bracket	piano-pedal-bracket.cc	bound-padding bracket-flare dashed-edge edge-height pedal-text shorten-pair	The bracket of the piano pedal.  It can be tuned through the regular bracket\nproperties.
pure-from-neighbor-interface	Pure_from_neighbor_interface	pure-from-neighbor-interface.cc	neighbors pure-relevant-grobs pure-Y-common	A collection of routines to allow for objects' pure heights and heights to be\ncalculated based on the heights of the objects' neighbors.
rest-collision-interface	Rest_collision	rest-collision.cc	minimum-distance positioning-done elements	Move ordinary rests (not multi-measure nor pitched rests) to avoid conflicts.
rest-interface	Rest	rest.cc	direction minimum-distance style voiced-position	A rest symbol.  The property @code{style} can be @code{default},\n@code{mensural}, @code{neomensural} or @code{classical}.
rhythmic-head-interface	Rhythmic_head	rhythmic-head.cc	dot duration-log glissando-skip stem	Note head or rest.
script-column-interface	Script_column	script-column.cc	scripts	An interface that sorts scripts according to their @code{script-priority} and\n@code{outside-staff-priority}.
script-interface	Script_interface	script-interface.cc	avoid-slur direction-source positioning-done script-column script-priority script-stencil side-relative-direction slur slur-padding staff-position toe-heel-style toward-stem-shift toward-stem-shift-in-column	An object that is put above or below a note.
self-alignment-interface	Self_alignment_interface	self-alignment-interface.cc	parent-alignment-X parent-alignment-Y self-alignment-X self-alignment-Y X-align-on-main-noteheads	Position this object on itself and/or on its parent.  To this end, the\nfollowing functions are provided:\n\n@table @code\n@item ly:self-alignment-interface::x-aligned-on-self\n@itemx ly:self-alignment-interface::y-aligned-on-self\nAlign self on reference point, using @code{self-alignment-X} and\n@code{self-alignment-Y}, respectively.\n\n@item ly:self-alignment-interface::aligned-on-x-parent\n@itemx ly:self-alignment-interface::aligned-on-y-parent\nAlign reference point of self with the reference point of parent.  The\nposition of the own reference point is adjusted with @code{self-alignment-X}\nand @code{self-alignment-Y}, the position of the parent's reference point\nwith @code{parent-alignment-X} and @code{parent-alignment-Y}, respectively.\n\nFunction @code{ly:self-alignment-interface::aligned-on-x-parent} listens to\nthe property @code{X-alignment-extent} of the @code{PaperColumn} grob, using\nit as a fallback width for parent alignment in case the @code{PaperColumn}\ngrob does not contain note heads.\n\n@item ly:self-alignment-interface::centered-on-x-parent\n@itemx ly:self-alignment-interface::centered-on-y-parent\nShift the object so its own reference point is centered on the extent of the\nparent.\n@end table
semi-tie-column-interface	Semi_tie_column	semi-tie-column.cc	positioning-done head-direction tie-configuration ties	The interface for a column of l.v.  (laissez vibrer) ties.
semi-tie-interface	Semi_tie	semi-tie.cc	annotation control-points direction details head-direction note-head thickness line-thickness	A tie that is only connected to a note head on one side.\n\nThe following properties may be set in the @code{details} list.\n\n@table @code\n@item height-limit\nMaximum tie height: The longer the tie, the closer it is to this height.\n@item ratio\nParameter for tie shape.  The higher this number, the quicker the tie attains\nits @code{height-limit}.\n@end table
separation-item-interface	Separation_item	separation-item.cc	X-extent conditional-elements elements padding horizontal-skylines skyline-vertical-padding	Item that computes widths to generate spacing rods.
side-position-interface	Side_position_interface	side-position-interface.cc	add-stem-support direction minimum-space minimum-X-space horizon-padding padding quantize-position side-axis side-support-elements slur-padding staff-padding X-padding	Position a victim object (this one) next to other objects (the support).  The\nproperty @code{direction} signifies where to put the victim object relative to\nthe support (left or right, up or down?)\n\nThe routine also takes the size of the staff into account if\n@code{staff-padding} is set.  If undefined, the staff symbol is ignored.
